date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:03:17	2394/2394	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Nov%202020%2020:08:53%20GMT	https://www.callejerosrp.com/robots.txt		(from )
20:03:17	10100/10100	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2011:01:43%20GMT	https://www.callejerosrp.com/	C:/My%20Web%20Sites/Callejeros/www.callejerosrp.com/index.html	(from )
20:03:17	16758/16758	---MCZ	200	added ('OK')	text/css	etag:W/%225f2da1cf-4176%22	https://www.callejerosrp.com/style.css	C:/My%20Web%20Sites/Callejeros/www.callejerosrp.com/style.css	(from https://www.callejerosrp.com/)
20:03:18	20961/20961	---M--	200	added ('OK')	image/jpeg	etag:%2251e1-5b0b479959000%22	https://callejerosrp.es/imagenes/callejeros/logos/1.jpg	C:/My%20Web%20Sites/Callejeros/callejerosrp.es/imagenes/callejeros/logos/1.jpg	(from https://www.callejerosrp.com/)
20:03:18	82197/82197	---M--	200	added ('OK')	image/png	etag:%225f2da1d1-14115%22	https://www.callejerosrp.com/img/logo3.png	C:/My%20Web%20Sites/Callejeros/www.callejerosrp.com/img/logo3.png	(from https://www.callejerosrp.com/)
20:03:18	53741/53741	---MCZ	200	added ('OK')	text/css	etag:W/%22b8085bf2c839791244bd95f56fb93c01%22	https://use.fontawesome.com/releases/v5.6.1/css/all.css	C:/My%20Web%20Sites/Callejeros/use.fontawesome.com/releases/v5.6.1/css/all.css	(from https://www.callejerosrp.com/)
20:03:19	52/52	---M--	302	error ('Found')	text/plain	date:Fri,%2026%20Feb%202021%2019:03:20%20GMT	https://unpkg.com/aos@next/dist/aos.css	C:/My%20Web%20Sites/Callejeros/unpkg.com/aos@next/dist/aos.4.delayed	(from https://www.callejerosrp.com/)
20:03:19	28765/28765	---M-Z	200	added ('OK')	text/css	etag:W/%22705d-miajSdIaS4cfRd/RJKQ/raT5S5g%22	https://unpkg.com/aos@3.0.0-beta.6/dist/aos.css	C:/My%20Web%20Sites/Callejeros/unpkg.com/aos@3.0.0-beta.6/dist/aos.css	(from https://www.callejerosrp.com/)
20:03:19	611259/611259	---M--	200	added ('OK')	image/png	etag:%225f2da1d1-953bb%22	https://www.callejerosrp.com/img/logo.png	C:/My%20Web%20Sites/Callejeros/www.callejerosrp.com/img/logo.png	(from https://www.callejerosrp.com/)
20:03:19	11830/11830	---M--	200	added ('OK')	image/png	etag:%225f2da1d0-2e36%22	https://www.callejerosrp.com/img/arrow.png	C:/My%20Web%20Sites/Callejeros/www.callejerosrp.com/img/arrow.png	(from https://www.callejerosrp.com/)
20:03:20	1886589/1886589	---M--	200	added ('OK')	image/png	etag:%225f2da1d0-1cc97d%22	https://www.callejerosrp.com/img/fivem.png	C:/My%20Web%20Sites/Callejeros/www.callejerosrp.com/img/fivem.png	(from https://www.callejerosrp.com/)
20:03:20	355441/355441	---M--	200	added ('OK')	image/png	etag:%225f2da1d1-56c71%22	https://www.callejerosrp.com/img/fivem1.png	C:/My%20Web%20Sites/Callejeros/www.callejerosrp.com/img/fivem1.png	(from https://www.callejerosrp.com/)
20:03:20	407931/407931	---M--	200	added ('OK')	image/png	etag:%225f2da1d1-6397b%22	https://www.callejerosrp.com/img/fivem3.png	C:/My%20Web%20Sites/Callejeros/www.callejerosrp.com/img/fivem3.png	(from https://www.callejerosrp.com/)
20:03:20	17238/17238	---M--	200	added ('OK')	image/jpeg	etag:%225f2da1d0-4356%22	https://www.callejerosrp.com/img/cuscu1.jpg	C:/My%20Web%20Sites/Callejeros/www.callejerosrp.com/img/cuscu1.jpg	(from https://www.callejerosrp.com/)
20:03:20	173810/173810	---M--	200	added ('OK')	image/gif	etag:%225f2da1d0-2a6f2%22	https://www.callejerosrp.com/img/cuscu.gif	C:/My%20Web%20Sites/Callejeros/www.callejerosrp.com/img/cuscu.gif	(from https://www.callejerosrp.com/)
20:03:20	51/51	---M--	302	error ('Found')	text/plain	date:Fri,%2026%20Feb%202021%2019:03:22%20GMT	https://unpkg.com/aos@next/dist/aos.js	C:/My%20Web%20Sites/Callejeros/unpkg.com/aos@next/dist/aos.js	(from https://www.callejerosrp.com/)
20:03:21	13800/13800	---M-Z	200	added ('OK')	application/javascript	etag:W/%2235e8-44lQwbzmXp8EjjBbNWf/kKDJI+M%22	https://unpkg.com/aos@3.0.0-beta.6/dist/aos.js	C:/My%20Web%20Sites/Callejeros/unpkg.com/aos@3.0.0-beta.6/dist/aos.js	(from https://www.callejerosrp.com/)
20:03:21	611608/611608	---M--	200	added ('OK')	image/jpeg	etag:%225f2da1d0-95518%22	https://www.callejerosrp.com/img/bg.jpg	C:/My%20Web%20Sites/Callejeros/www.callejerosrp.com/img/bg.jpg	(from https://www.callejerosrp.com/style.css)
